"ssp_id","line_item_id","code_type","line_code","package_base_code_boolean","fee_type","sub_package_ids","line_item_association_rate","description","ssp_version"
DE000,66724,HCPCS,"19083",1,Base Code,"221DE",0.6445,Percutaneous Breast Biopsy Withimaging & Localization Devices,1.1
DE000,61108,HCPCS,"19081",1,Base Code,"186DE",0.2846,"Percutaneous Breast Biopsy with Localization Device, Imaging, and Stereotactic Guidance",1.1
DE000,13395,HCPCS,"19085",1,Base Code,"222DE",0.0707,"Percutaneous Breast Biopsy with Localization Device, Mr Imaging",1.1
DE000,51076,DIAG,R92,0,Diagnosis Codes,"222DE, 221DE, 186DE",0.2734,Abnormal and inconclusive findings on dx imaging of breast,1.1
DE000,24387,DIAG,N63,0,Diagnosis Codes,"222DE, 221DE",0.2014,Unspecified lump in breast,1.1
DE000,50932,DIAG,N60,0,Diagnosis Codes,"222DE, 221DE, 186DE",0.1599,Benign mammary dysplasia,1.1
DE000,55012,DIAG,D24,0,Diagnosis Codes,"221DE",0.1044,Benign neoplasm of breast,1.1
DE000,96964,DIAG,C50,0,Diagnosis Codes,"222DE",0.0074,Malignant neoplasm of breast,1.1
DE000,22995,HCPCS,A4648,0,Facility Fee,"221DE, 222DE, 186DE",0.6326,"Implantable Tissue Marker, Any Type, Each",1.1
DE000,111220,RC,"0401",0,Facility Fee,"221DE, 186DE, 222DE",0.5680,Other Imaging Services - Diagnostic mammography,1.1
DE000,67012,HCPCS,"88333",0,Facility Fee,"221DE",0.5575,"Technical: Cytopathology Consultation Including Touch/Squash Preparatory Tests, Initial Site",1.1
DE000,69748,RC,"0278",0,Facility Fee,"222DE, 186DE, 221DE",0.5397,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Other implants",1.1
DE000,30340,RC,"0272",0,Facility Fee,"222DE, 221DE, 186DE",0.5107,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
DE000,22563,RC,"0361",0,Facility Fee,"222DE, 221DE, 186DE",0.4476,Operating Room Services - Minor surgery,1.1
DE000,723,HCPCS,"88307",0,Facility Fee,"222DE, 186DE",0.3220,"Surgical Pathology Gross/Microscopic Exam, Various Organ/Tissue Resections/Biopsies",1.1
DE000,26404,RC,"0312",0,Facility Fee,"186DE, 222DE",0.1499,Laboratory Pathology - Histology,1.1
DE000,77476,RC,"0636",0,Facility Fee,"222DE",0.0399,Pharmacy - Extension of 025X - Drugs requiring detailed coding,1.1
DE000,93460,HCPCS,A9585,0,Facility Fee,"222DE",0.0293,Intramuscular Injection of 0.1ml. Gadobutrol,1.1
DE000,15220,RC,"0310",0,Optional Fee,"221DE, 222DE, 186DE",0.3851,Laboratory Pathology - General,1.1
DE000,94948,RC,"0250",0,Optional Fee,"222DE, 186DE, 221DE",0.3562,"Pharmacy (Also see 063X, an extension of 250X) - General",1.1
DE000,54724,RC,"0312",0,Optional Fee,"221DE",0.2526,Laboratory Pathology - Histology,1.1
DE000,62548,HCPCS,"88344",0,Optional Fee,"221DE, 186DE",0.2268,"Immunoassay Detection of Antibodies in Tissue Sample, Multiplex per Specimen",1.1
DE000,81604,HCPCS,"77049",0,Professional Fee,"221DE",0.6065,MRI of Bilateral Breasts with Contrast and CAD Analysis,1.1
EN000,12916,HCPCS,"42820",1,Base Code,"127EN",1.0000,Tonsil and Adenoid Removal Surgery in Children Under 12 Years Old,1.1
EN000,42532,DIAG,J35,0,Diagnosis Codes,"127EN",0.7539,Chronic diseases of tonsils and adenoids,1.1
EN000,13203,RC,"0710",0,Facility Fee,"127EN",0.9100,Recovery Room - General,1.1
EN000,53380,RC,"0370",0,Facility Fee,"127EN",0.8649,Anesthesia - General,1.1
EN000,9171,RC,"0250",0,Facility Fee,"127EN",0.8649,"Pharmacy (Also see 063X, an extension of 250X) - General",1.1
EN000,61396,HCPCS,J1100,0,Facility Fee,"127EN",0.8510,Intramuscular Injection of 1mg Dexamethasone Sodium Phosphate,1.1
EN000,7203,RC,"0360",0,Facility Fee,"127EN",0.8400,Operating Room Services - General,1.1
EN000,112228,HCPCS,J2405,0,Facility Fee,"127EN",0.8330,"Intramuscular Injection of Ondansetron Hydrochloride, 1mg",1.1
EN000,72868,RC,"0636",0,Facility Fee,"127EN",0.7490,Pharmacy - Extension of 025X - Drugs requiring detailed coding,1.1
EN000,112612,HCPCS,J2704,0,Facility Fee,"127EN",0.6389,Intramuscular Injection of 10mg Propofol,1.1
EN000,9844,HCPCS,J3010,0,Facility Fee,"127EN",0.5729,Intramuscular Injection of Fentanyl Citrate 0.1mg,1.1
EN000,70852,RC,"0272",0,Facility Fee,"127EN",0.4760,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
EN000,107572,HCPCS,"88304",0,Optional Fee,"127EN",0.3759,Gross and Microscopic Surgical Pathology Examination of Various Body Organs/Structures,1.1
EN000,32644,HCPCS,"00126",0,Professional Fee,"127EN",0.6450,Anesthesia for Ear Procedures Including Biopsy and Tympanotomy,1.1
GA000,34036,HCPCS,"44388",1,Base Code,"116GA",0.5552,Diagnostic Stoma Colonoscopy with Brushing/Washing Specimen Collection,1.1
GA000,30292,HCPCS,"44389",1,Base Code,"117GA",0.2579,Colonostomy Endoscopy with Biopsy(s); Diagnosis/Surveillance,1.1
GA000,12339,HCPCS,"44394",1,Base Code,"119GA",0.1796,"Colonoscopy via Stoma; Tumor, Polyp, Lesion Resection via Snare",1.1
GA000,19156,HCPCS,"44404",1,Base Code,"122GA",0.0068,"Endoscopic Insertion of Stoma, with Injecting of Agents Beneath Lining",1.1
GA000,14308,HCPCS,"44406",1,Base Code,"123GA",0.0003,"Endoscopic Ultrasound Examination of Sigmoid, Descending, Transverse, & Ascending Colon & Cecum",1.1
GA000,81556,DIAG,Z12,0,Diagnosis Codes,"116GA, 119GA, 117GA, 122GA",0.3306,Encounter for screening for malignant neoplasms,1.1
GA000,9364,DIAG,K57,0,Diagnosis Codes,"122GA, 116GA",0.0720,Diverticular disease of intestine,1.1
GA000,93364,DIAG,D12,0,Diagnosis Codes,"122GA, 119GA",0.0361,"Benign neoplasm of colon, rectum, anus and anal canal",1.1
GA000,66004,DIAG,K50,0,Diagnosis Codes,"117GA",0.0305,Crohn's disease [regional enteritis],1.1
GA000,68692,DIAG,Z09,0,Diagnosis Codes,"122GA",0.0009,Encntr for f/u exam aft trtmt for cond oth than malig neoplm,1.1
GA000,10180,DIAG,C18,0,Diagnosis Codes,"122GA",0.0009,Malignant neoplasm of colon,1.1
GA000,24963,DIAG,K29,0,Diagnosis Codes,"123GA",0.0003,Gastritis and duodenitis,1.1
GA000,50308,RC,"0636",0,Facility Fee,"119GA, 116GA, 123GA, 117GA, 122GA",0.6902,Pharmacy - Extension of 025X - Drugs requiring detailed coding,1.1
GA000,101956,RC,"0370",0,Facility Fee,"122GA, 119GA, 123GA, 117GA, 116GA",0.6837,Anesthesia - General,1.1
GA000,69028,HCPCS,J2704,0,Facility Fee,"119GA, 122GA, 117GA, 116GA",0.6300,Intramuscular Injection of 10mg Propofol,1.1
GA000,1444,RC,"0750",0,Facility Fee,"116GA, 119GA, 123GA, 117GA, 122GA",0.6001,Gastrointestinal Services - General,1.1
GA000,14979,RC,"0710",0,Facility Fee,"122GA, 116GA, 123GA, 119GA, 117GA",0.5770,Recovery Room - General,1.1
GA000,85252,RC,"0250",0,Facility Fee,"119GA, 116GA, 117GA, 122GA",0.5087,"Pharmacy (Also see 063X, an extension of 250X) - General",1.1
GA000,42196,HCPCS,"87252",0,Facility Fee,"117GA",0.2270,Identifying Viruses in Tissue Cultures by Observing Cell Damage Effects,1.1
GA000,81124,HCPCS,"87081",0,Facility Fee,"119GA",0.1494,"Culture Presumptive Pathogen Detection, Screening Only",1.1
GA000,58708,RC,"0312",0,Facility Fee,"117GA, 123GA",0.1085,Laboratory Pathology - Histology,1.1
GA000,22371,RC,"0272",0,Facility Fee,"122GA, 119GA",0.0779,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA000,108100,RC,"0310",0,Facility Fee,"119GA",0.0726,Laboratory Pathology - General,1.1
GA000,38596,RC,"0270",0,Facility Fee,"122GA",0.0031,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - General",1.1
GA000,59668,RC,"0121",0,Facility Fee,"123GA",0.0003,Room and Board Semi-private (two beds) - Medical/Surgical/GYN,1.1
GA000,15363,RC,"0300",0,Facility Fee,"123GA",0.0003,Laboratory - General,1.1
GA000,93076,RC,"0352",0,Facility Fee,"123GA",0.0003,CT Scan - Body scan,1.1
GA000,64660,RC,"0305",0,Facility Fee,"123GA",0.0003,Laboratory - Hematology,1.1
GA000,26596,RC,"0940",0,Facility Fee,"123GA",0.0003,Other Therapeutic Services - See also 095X - General,1.1
GA000,11812,RC,"0324",0,Facility Fee,"123GA",0.0003,Radiology Diagnostic - Chest X-ray,1.1
GA000,100468,RC,"0450",0,Facility Fee,"123GA",0.0003,Emergency Room - General,1.1
GA000,100756,RC,"0301",0,Facility Fee,"123GA",0.0003,Laboratory - Chemistry,1.1
GA000,102964,RC,"0307",0,Facility Fee,"123GA",0.0003,Laboratory - Urology,1.1
GA000,73060,RC,"0272",0,Optional Fee,"117GA",0.0991,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA000,82900,RC,"0310",0,Optional Fee,"117GA, 122GA",0.0910,Laboratory Pathology - General,1.1
GA000,14596,RC,"0312",0,Optional Fee,"119GA",0.0601,Laboratory Pathology - Histology,1.1
GA000,21844,RC,"0258",0,Optional Fee,"122GA",0.0021,"Pharmacy (Also see 063X, an extension of 250X) - IV solutions",1.1
GA002,292,HCPCS,"45380",1,Base Code,"129GA",0.4036,Endoscopic Colon Biopsy with Flexible Scope for Diagnosis,1.1
GA002,5764,HCPCS,"45385",1,Base Code,"133GA",0.3071,Colonoscopy with Snare Resection of Tumor/Polyps/lesions,1.1
GA002,25396,HCPCS,"45378",1,Base Code,"101GA",0.2613,"Flexible Endoscopy to Diagnose Colon, with Specimen Collection",1.1
GA002,37444,HCPCS,"45381",1,Base Code,"130GA",0.0135,Flexible Colonoscopy with Submucosal Injections of Any Substance,1.1
GA002,34756,HCPCS,"45384",1,Base Code,"132GA",0.0121,Flexible Endoscopic Colonoscopy with Hot Biopsy Forceps Excision of Lesion,1.1
GA002,8355,HCPCS,"45382",1,Base Code,"131GA",0.0018,Flexible Colonoscopy with Control of Bleeding of Any Technique,1.1
GA002,724,HCPCS,"45379",1,Base Code,"128GA",0.0002,Flexible Colonoscopy with Foreign Body Removal,1.1
GA002,42916,HCPCS,"45337",1,Base Code,"127GA",0.0000,Flexible Sigmoidoscopy with Decompression Tube for Distention-related Pathologies,1.1
GA002,55108,HCPCS,"45317",1,Base Code,"126GA",0.0000,Rigid Proctosigmoidoscopy with Control of Bleeding by Tools,1.1
GA002,12291,DIAG,Z12,0,Diagnosis Codes,"133GA, 130GA, 101GA, 131GA, 128GA, 129GA, 132GA",0.6203,Encounter for screening for malignant neoplasms,1.1
GA002,108916,DIAG,D12,0,Diagnosis Codes,"130GA",0.0026,"Benign neoplasm of colon, rectum, anus and anal canal",1.1
GA002,18243,DIAG,K55,0,Diagnosis Codes,"131GA",0.0002,Vascular disorders of intestine,1.1
GA002,8163,DIAG,K56,0,Diagnosis Codes,"127GA",0.0000,Paralytic ileus and intestinal obstruction without hernia,1.1
GA002,111460,DIAG,K62,0,Diagnosis Codes,"126GA",0.0000,Other diseases of anus and rectum,1.1
GA002,113764,DIAG,T18,0,Diagnosis Codes,"128GA",0.0000,Foreign body in alimentary tract,1.1
GA002,77332,RC,"0636",0,Facility Fee,"129GA, 101GA, 126GA, 128GA, 130GA, 133GA, 132GA, 127GA, 131GA",0.6091,Pharmacy - Extension of 025X - Drugs requiring detailed coding,1.1
GA002,31540,RC,"0370",0,Facility Fee,"127GA, 133GA, 131GA, 126GA, 129GA, 128GA, 130GA, 101GA, 132GA",0.6032,Anesthesia - General,1.1
GA002,107860,RC,"0750",0,Facility Fee,"101GA, 127GA, 131GA, 128GA, 130GA, 133GA, 129GA, 132GA",0.5494,Gastrointestinal Services - General,1.1
GA002,35236,RC,"0710",0,Facility Fee,"131GA, 133GA, 129GA, 132GA, 101GA, 127GA, 126GA, 130GA, 128GA",0.5238,Recovery Room - General,1.1
GA002,47668,RC,"0250",0,Facility Fee,"130GA, 101GA, 128GA, 131GA, 132GA, 133GA, 127GA, 129GA, 126GA",0.4720,"Pharmacy (Also see 063X, an extension of 250X) - General",1.1
GA002,76276,HCPCS,"87081",0,Facility Fee,"133GA",0.2337,"Culture Presumptive Pathogen Detection, Screening Only",1.1
GA002,82036,RC,"0272",0,Facility Fee,"132GA, 130GA, 128GA, 131GA",0.0148,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA002,98692,HCPCS,"88309",0,Facility Fee,"130GA",0.0107,"Surgical Pathology, Gross/Microscopic Examination; Resection Tumor/Neoplasm; Dissection/Disarticulation",1.1
GA002,6195,HCPCS,"88307",0,Facility Fee,"128GA",0.0001,"Surgical Pathology Gross/Microscopic Exam, Various Organ/Tissue Resections/Biopsies",1.1
GA002,19587,RC,"0360",0,Facility Fee,"126GA",0.0000,Operating Room Services - General,1.1
GA002,9603,HCPCS,"36415",0,Facility Fee,"127GA",0.0000,Collection of Blood From a Vein via Puncture,1.1
GA002,47332,HCPCS,"85027",0,Facility Fee,"127GA",0.0000,Automated Complete Blood Count (cbc) Analysis,1.1
GA002,89908,RC,"0320",0,Facility Fee,"127GA",0.0000,Radiology Diagnostic - General,1.1
GA002,20547,RC,"0300",0,Facility Fee,"127GA",0.0000,Laboratory - General,1.1
GA002,91060,RC,"0305",0,Facility Fee,"127GA",0.0000,Laboratory - Hematology,1.1
GA002,22948,HCPCS,Q9966,0,Facility Fee,"127GA",0.0000,Low-osmolar Contrast Material with 200-299 Mg/Ml. Iodine Concentration per ml,1.1
GA002,17380,HCPCS,"87077",0,Facility Fee,"127GA",0.0000,"Identify Bacteria, Additional Tests Required, Each Isolate",1.1
GA002,91492,HCPCS,J7120,0,Facility Fee,"126GA",0.0000,Intravenous Infusion of 1000 Cc of Ringer's Lactate Solution,1.1
GA002,41956,RC,"0301",0,Facility Fee,"127GA",0.0000,Laboratory - Chemistry,1.1
GA002,3508,HCPCS,J3010,0,Facility Fee,"126GA",0.0000,Intramuscular Injection of Fentanyl Citrate 0.1mg,1.1
GA002,4180,RC,"0450",0,Facility Fee,"127GA",0.0000,Emergency Room - General,1.1
GA002,88036,RC,"0272",0,Optional Fee,"133GA, 129GA, 127GA",0.2584,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA002,42628,RC,"0310",0,Optional Fee,"129GA, 132GA, 133GA, 130GA",0.2553,Laboratory Pathology - General,1.1
GA002,5044,RC,"0312",0,Optional Fee,"133GA, 129GA, 130GA",0.2231,Laboratory Pathology - Histology,1.1
GA002,7348,RC,"0258",0,Optional Fee,"132GA",0.0045,"Pharmacy (Also see 063X, an extension of 250X) - IV solutions",1.1
GA002,97252,HCPCS,J1100,0,Optional Fee,"126GA",0.0000,Intramuscular Injection of 1mg Dexamethasone Sodium Phosphate,1.1
GA002,32356,RC,"0270",0,Optional Fee,"126GA",0.0000,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - General",1.1
GA002,21555,HCPCS,J2405,0,Optional Fee,"126GA",0.0000,"Intramuscular Injection of Ondansetron Hydrochloride, 1mg",1.1
GA002,102052,RC,"0352",0,Optional Fee,"127GA",0.0000,CT Scan - Body scan,1.1
GA002,56068,HCPCS,"83735",0,Optional Fee,"127GA",0.0000,Inorganic Ionic Element Essential for Body Functions,1.1
GA002,104308,RC,"0730",0,Optional Fee,"127GA",0.0000,EKG/ECG Electrocardiogram - General,1.1
GA002,16179,HCPCS,J2250,0,Optional Fee,"126GA",0.0000,Intramuscular Injection of 1mg Midazolam Hydrochloride,1.1
GA002,59524,HCPCS,J2704,0,Optional Fee,"127GA",0.0000,Intramuscular Injection of 10mg Propofol,1.1
GA002,13347,HCPCS,"00813",0,Professional Fee,"132GA, 128GA, 101GA, 130GA, 133GA, 129GA",0.5246,"Anesthesia for Combined Upper &amp; Lower Gi Endoscopic Procedures, Both Proximal &amp; Distal to Duodenum",1.1
GA007,113236,HCPCS,"43239",1,Base Code,"107GA",0.8126,"Flexible Transoral Examination of Esophagus, Stomach & Duodenum with Biopsy",1.1
GA007,62836,HCPCS,"43235",1,Base Code,"100GA",0.1472,"Flexible Endoscopic Examination of the Esophagus, Stomach and Duodenum with Biopsy",1.1
GA007,17812,HCPCS,"43248",1,Base Code,"108GA",0.0218,Flexible Esophago-gastro-duodenoscopy with Guide Wire Dilatation,1.1
GA007,40516,HCPCS,"43247",1,Base Code,"180GA",0.0121,Flexible Scope with Removal of Esophageal Foreign Body(s),1.1
GA007,34996,HCPCS,"43236",1,Base Code,"173GA",0.0061,Flexible Endoscopic Examination of Upper Gi with Submucosal Injections,1.1
GA007,87652,DIAG,K29,0,Diagnosis Codes,"107GA",0.1519,Gastritis and duodenitis,1.1
GA007,59332,DIAG,K21,0,Diagnosis Codes,"107GA, 100GA",0.1334,Gastro-esophageal reflux disease,1.1
GA007,89524,DIAG,Z12,0,Diagnosis Codes,"100GA, 107GA",0.1196,Encounter for screening for malignant neoplasms,1.1
GA007,2355,DIAG,K22,0,Diagnosis Codes,"108GA, 173GA",0.0110,Other diseases of esophagus,1.1
GA007,56548,DIAG,R13,0,Diagnosis Codes,"173GA, 108GA",0.0063,Aphagia and dysphagia,1.1
GA007,113812,DIAG,T18,0,Diagnosis Codes,"180GA",0.0040,Foreign body in alimentary tract,1.1
GA007,63076,DIAG,Z46,0,Diagnosis Codes,"180GA",0.0021,Encounter for fitting and adjustment of other devices,1.1
GA007,37012,DIAG,K31,0,Diagnosis Codes,"173GA",0.0015,Other diseases of stomach and duodenum,1.1
GA007,5956,HCPCS,"88112",0,Facility Fee,"107GA",0.6574,Liquid Based Cytology with Focused Cellular Analysis and Interpretation,1.1
GA007,59476,RC,"0370",0,Facility Fee,"107GA, 173GA, 108GA, 180GA, 100GA",0.6369,Anesthesia - General,1.1
GA007,10804,RC,"0636",0,Facility Fee,"108GA, 107GA, 173GA, 100GA, 180GA",0.6311,Pharmacy - Extension of 025X - Drugs requiring detailed coding,1.1
GA007,55876,HCPCS,J2704,0,Facility Fee,"107GA, 100GA, 180GA, 173GA, 108GA",0.6157,Intramuscular Injection of 10mg Propofol,1.1
GA007,15027,RC,"0710",0,Facility Fee,"173GA, 180GA, 108GA, 107GA, 100GA",0.5576,Recovery Room - General,1.1
GA007,7636,RC,"0750",0,Facility Fee,"100GA, 180GA, 107GA, 173GA, 108GA",0.5548,Gastrointestinal Services - General,1.1
GA007,29236,RC,"0250",0,Facility Fee,"180GA, 108GA, 173GA, 107GA, 100GA",0.5312,"Pharmacy (Also see 063X, an extension of 250X) - General",1.1
GA007,8787,RC,"0272",0,Facility Fee,"180GA, 173GA, 108GA",0.0197,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA007,97204,HCPCS,J0585,0,Facility Fee,"173GA",0.0037,Intramuscular Injection of 1 Unit of Onabotulinumtoxina,1.1
GA007,49444,RC,"0272",0,Optional Fee,"107GA",0.2836,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA007,75316,RC,"0310",0,Optional Fee,"107GA",0.2795,Laboratory Pathology - General,1.1
GA007,42292,RC,"0312",0,Optional Fee,"107GA",0.2681,Laboratory Pathology - Histology,1.1
GA007,7923,HCPCS,J2405,0,Optional Fee,"180GA",0.0045,"Intramuscular Injection of Ondansetron Hydrochloride, 1mg",1.1
